Wall:R-Value:Input,Window:U-Value:Input,SHGC:NA:Input,Roof:NA:Input,Res HRV:(%):Input,SHW:Type:Input,SHW Reduce:NA:Input,Appliances:NA:Input,MUA:NA:Input,TEUI:(kWh/m2):Output:120,GHGI:(kgCO2/m2):Output:100,TEDI:(kWh/m2):Output:200,LEED:Pts:Output:100,Energy Cost:($):Output:100,NPV:NA:Output:100
R-ip 8,U-ip 0.15,0.4,30,90,Gas,0,N,HP,106.5,5.8,27.6,13,246538,665859
R-ip 8,U-ip 0.15,0.4,20,90,Gas,0,N,HP,107,5.8,28.3,13,248099,688084
R-ip 8,U-ip 0.15,0.25,30,90,Gas,0,N,HP,107.6,5.8,29.3,13,249792,712176
R-ip 8,U-ip 0.15,0.25,20,90,Gas,0,N,HP,108.2,5.8,30,13,251540,737053
R-ip 8,U-ip 0.25,0.4,30,90,Gas,0,N,HP,109.1,5.8,31,13,253899,770642
R-ip 8,U-ip 0.25,0.4,20,90,Gas,0,N,HP,109.7,5.8,31.7,12,255665,795770
R-ip 8,U-ip 0.25,0.25,30,90,Gas,0,N,HP,110.7,5.8,33,12,258297,833240
R-ip 8,U-ip 0.25,0.25,20,90,Gas,0,N,HP,111.3,5.8,33.8,12,260188,860144
R-ip 8,U-ip 0.38,0.4,30,90,Gas,0,N,HP,113.1,5.8,35.9,11,265167,931026
R-ip 8,U-ip 0.38,0.4,20,90,Gas,0,N,HP,113.8,5.8,36.6,11,267052,957855
R-ip 8,U-ip 0.38,0.25,30,90,Gas,0,N,HP,115.1,5.9,38.2,11,270611,1008510
R-ip 8,U-ip 0.38,0.25,20,90,Gas,0,N,HP,115.8,5.9,39,10,272637,1037344
R-ip 15,U-ip 0.15,0.4,30,90,Gas,0,N,HP,103.5,5.7,23.8,0,238247,547860
R-ip 15,U-ip 0.15,0.4,20,90,Gas,0,N,HP,103.9,5.7,24.3,0,239307,562943
R-ip 15,U-ip 0.15,0.25,30,90,Gas,0,N,HP,104.2,5.7,25,0,240153,574977
R-ip 15,U-ip 0.15,0.25,20,90,Gas,0,N,HP,104.6,5.7,25.6,0,241420,593012
R-ip 15,U-ip 0.25,0.4,30,90,Gas,0,N,HP,105.3,5.8,26.5,0,243404,621259
R-ip 15,U-ip 0.25,0.4,20,90,Gas,0,N,HP,105.8,5.8,27.1,0,244813,641305
R-ip 15,U-ip 0.25,0.25,30,90,Gas,0,N,HP,106.4,5.8,28.2,0,246428,664297
R-ip 15,U-ip 0.25,0.25,20,90,Gas,0,N,HP,107,5.8,28.9,0,248091,687962
R-ip 15,U-ip 0.38,0.4,30,90,Gas,0,N,HP,108.7,5.8,30.9,0,252820,755283
R-ip 15,U-ip 0.38,0.4,20,90,Gas,0,N,HP,109.3,5.8,31.6,0,254590,780474
R-ip 15,U-ip 0.38,0.25,30,90,Gas,0,N,HP,110.3,5.8,32.9,0,257231,818057
R-ip 15,U-ip 0.38,0.25,20,90,Gas,0,N,HP,111,5.8,33.7,0,259156,845466
R-ip 8,U-ip 0.15,0.4,30,90,Renew Gas,0,N,HP,106.5,0.9,27.6,11,259857,855437
R-ip 8,U-ip 0.15,0.4,20,90,Renew Gas,0,N,HP,107,0.9,28.3,11,261418,877663
R-ip 8,U-ip 0.15,0.25,30,90,Renew Gas,0,N,HP,107.6,0.9,29.3,11,263111,901755
